title,authors,publisher,date
Spark for Data Science,"['Srinivas Duvvuri', 'Bikramaditya Singhal']",Packt Publishing,September 2016
Practical Data Analysis,"['Hector Cuesta', 'Sampath Kumar']",Packt Publishing,September 2016
Hadoop Blueprints,"['Anurag Shrivastava', 'Tanmay Deshpande']",Packt Publishing,September 2016
Smart Internet of Things Projects,['Agus Kurniawan'],Packt Publishing,September 2016
Big Data Analytics,['Venkat Ankam'],Packt Publishing,September 2016
Introduction to Machine Learning with Python,"['Andreas C. Müller', 'Sarah Guido']",O'Reilly Media,September 2016
Strategic Analytics and SAS,['Randall S. Collica'],SAS Institute,September 2016
Going Responsive,['Karen McGrane'],A Book Apart,September 2016
Predictive Analytics For Dummies,"['Anasse Bari', 'Mohamed Chaouchi', 'Tommy Jung']",Wiley / For Dummies,September 2016
Discovering JMP 13,['SAS Institute'],SAS Institute,September 2016
Using JMP 13,['SAS Institute'],SAS Institute,September 2016
JMP 13 Essential Graphing,['SAS Institute'],SAS Institute,September 2016
JMP 13 Scripting Guide,['SAS Institute'],SAS Institute,September 2016
JMP 13 Multivariate Methods,['SAS Institute'],SAS Institute,September 2016
JMP 13 Reliability and Survival Methods,['SAS Institute'],SAS Institute,September 2016
Data Hiding Techniques in Windows OS,"['Nihad Hassan', 'Rami Hijazi']",Elsevier / Syngress,September 2016
Biostatistics and Computer-based Analysis of Health Data using Stata,"['Christophe Lalanne', 'Mounir Mesbah']",Elsevier / ISTE Press - Elsevier,September 2016
Hadoop: Data Processing and Modelling,"['Garry Turkington', 'Tanmay Deshpande', 'Sandeep Karanth']",Packt Publishing,August 2016
Tableau: Creating Interactive Data Visualizations,"['Jen Stirrup', 'Ashutosh Nandeshwar', 'Ashley Ohmann', 'Matt Floyd']",Packt Publishing,August 2016
Mastering Predictive Analytics with Python,['Joseph Babcock'],Packt Publishing,August 2016
Visualforce Development Cookbook,['Keir Bowden'],Packt Publishing,August 2016
Python: Deeper Insights into Machine Learning,"['Sebastian Raschka', 'David Julian', 'John Hearty']",Packt Publishing,August 2016
Learning GraphQL and Relay,['Samer Buna'],Packt Publishing,August 2016
Mastering Data Mining with Python – Find patterns hidden in your data,['Megan Squire'],Packt Publishing,August 2016
Introduction to R for Business Intelligence,['Jay Gendron'],Packt Publishing,August 2016
Mastering Sass,['Luke Watts'],Packt Publishing,August 2016
Data Analysis Plans: A Blueprint for Success Using SAS,"['Kathleen Jablonski', 'Mark Guagliardo']",SAS Institute,August 2016
Foundations for Analytics with Python,['Clinton W. Brownley'],O'Reilly Media,August 2016
The Data and Analytics Playbook,"['Lowell Fryman', 'Gregory Lampshire', 'Dan Meers']",Elsevier / Morgan Kaufmann,August 2016
VMware Software-Defined Storage,['Martin Hosken'],Wiley / Sybex,August 2016
Data Science Essentials in Python,['Dmitry Zinoviev'],Pragmatic Bookshelf,August 2016
Zabbix Network Monitoring,['Rihards Olups'],Packt Publishing,August 2016
Disruptive Marketing,['Geoffrey Colon'],AMACOM,August 2016
The CS Detective,['Jeremy Kubica'],No Starch Press,August 2016
R for Data Science Cookbook,"['Yu-Wei', 'Chiu']",Packt Publishing,July 2016
Big Data Analytics with R,['Simon Walkowiak'],Packt Publishing,July 2016
